id,Decision,Host_is_superhost,Host_identity_verified,Neighbourhood,Room_type,Accommodates,Essentials,Cooking,Balcony,Parking,Price,Number_of_reviews,Review_scores_rating,Instant_bookable,Month
144,1,0,1,28801,Private room,4,5,3,0,1,119.0,57,4.39,1,June
145,1,1,0,28803,Entire home/apt,4,5,5,1,1,155.0,110,4.92,1,June
146,0,0,0,28805,Entire home/apt,2,5,3,0,0,317.0,0,0.0,1,August
147,0,1,1,28803,Entire home/apt,6,5,5,0,1,90.0,11,5.0,0,June
148,0,0,1,28801,Entire home/apt,2,5,5,1,1,75.0,8,4.71,0,June
149,1,1,1,28805,Private room,2,4,1,0,1,117.0,319,4.96,1,September
150,0,1,1,28804,Entire home/apt,4,5,5,1,1,186.0,35,4.89,0,June
151,1,1,0,28806,Private room,2,2,0,1,1,26.0,74,4.92,1,July
152,1,1,1,28804,Entire home/apt,2,5,4,1,1,150.0,324,4.94,0,July
153,0,1,0,28805,Entire home/apt,8,5,5,1,1,80.0,258,4.97,1,August
154,0,0,0,28801,Entire home/apt,6,5,5,1,1,361.0,5,5.0,0,September
155,1,1,1,28801,Entire home/apt,6,4,4,0,1,381.0,74,4.81,1,August
156,1,0,0,28806,Entire home/apt,2,5,3,1,1,109.0,28,5.0,1,June
157,0,1,1,28804,Entire home/apt,2,5,5,1,1,114.0,133,4.86,0,July
158,1,1,1,28801,Entire home/apt,6,5,5,1,1,538.0,4,4.75,1,August
159,0,0,0,28804,Entire home/apt,4,4,0,0,1,88.0,0,0.0,0,June
160,0,1,1,28803,Entire home/apt,4,5,0,1,1,95.0,5,5.0,0,September
161,0,0,1,28806,Entire home/apt,3,4,1,0,1,115.0,68,4.94,0,June
162,0,1,1,28806,Entire home/apt,4,5,5,0,1,156.0,16,4.81,1,July
163,1,0,0,28804,Entire home/apt,4,3,4,0,1,218.0,22,4.91,1,August
164,0,1,1,28803,Entire home/apt,8,5,5,1,1,273.0,125,4.89,0,June
165,1,1,1,28801,Private room,2,5,1,0,1,195.0,2,5.0,1,August
166,0,1,1,28805,Entire home/apt,12,5,5,1,1,377.0,130,4.98,1,June
167,1,1,1,28805,Entire home/apt,4,5,5,1,1,218.0,28,4.89,1,August
168,1,1,0,28803,Entire home/apt,4,5,5,0,1,190.0,62,4.9,1,September
169,0,1,0,28803,Entire home/apt,10,5,5,1,1,134.0,355,4.89,1,June
170,1,1,1,28801,Entire home/apt,4,4,1,0,1,185.0,84,4.93,1,July
171,1,1,1,28804,Entire home/apt,8,5,5,1,1,364.0,17,4.67,1,September
172,1,1,1,28801,Entire home/apt,4,5,5,1,1,150.0,389,4.92,1,July
173,0,1,1,28803,Entire home/apt,4,5,5,1,1,60.0,0,0.0,0,July
174,0,1,1,28704,Entire home/apt,11,5,5,1,1,483.0,9,5.0,1,July
175,1,1,0,28803,Entire home/apt,2,5,3,1,1,164.0,174,4.97,1,June
176,1,0,0,28806,Entire home/apt,2,4,1,0,1,81.0,1,5.0,0,June
177,1,0,1,28804,Entire home/apt,4,5,5,1,0,125.0,7,5.0,1,July
178,0,1,1,28803,Private room,2,5,3,0,1,97.0,91,4.99,0,September
179,0,0,0,28732,Entire home/apt,4,5,0,1,1,300.0,9,4.56,0,July
180,1,1,1,28801,Entire home/apt,2,4,1,0,1,227.0,108,4.96,1,July
181,1,0,0,28801,Hotel room,2,4,0,0,1,438.0,0,0.0,1,August
182,1,1,1,28806,Entire home/apt,2,5,3,0,1,62.0,48,4.96,1,July
183,0,0,1,28803,Entire home/apt,2,4,0,0,1,151.0,163,4.96,0,June
184,1,1,1,28804,Entire home/apt,12,5,5,1,1,468.0,79,5.0,0,August
185,0,1,1,28804,Entire home/apt,12,5,5,1,1,638.0,16,5.0,1,June
186,0,0,0,28801,Private room,2,2,0,0,1,125.0,58,4.96,0,June
187,0,1,0,28803,Entire home/apt,2,5,5,1,0,115.0,137,4.92,0,September
188,1,0,1,28806,Entire home/apt,7,3,4,1,0,512.0,42,4.93,1,July
189,1,1,1,28806,Entire home/apt,4,5,5,1,1,226.0,31,4.9,1,June
190,0,1,1,28801,Entire home/apt,4,5,5,1,1,196.0,251,4.88,1,July
191,1,1,1,28806,Shared room,3,5,5,1,1,33.0,84,4.65,1,August
192,1,1,1,28806,Entire home/apt,6,5,5,1,1,196.0,86,4.9,1,June
193,0,1,1,28801,Private room,2,5,3,1,1,42.0,198,4.9,0,September
194,1,1,1,28801,Entire home/apt,4,5,5,0,1,243.0,41,4.93,1,August
195,1,0,1,28806,Entire home/apt,8,4,1,0,1,102.0,34,4.68,1,August
196,1,0,0,28804,Entire home/apt,4,5,3,0,1,244.0,18,5.0,1,August
197,1,1,1,28806,Entire home/apt,10,5,5,1,1,506.0,124,4.95,0,June
198,0,0,0,28804,Entire home/apt,4,5,5,1,1,98.0,174,4.65,0,June
199,0,0,1,28806,Entire home/apt,4,5,0,0,1,149.0,0,0.0,0,June
200,1,0,0,28804,Entire home/apt,8,5,5,1,1,411.0,36,4.89,0,August
201,1,1,1,28806,Entire home/apt,4,5,5,1,1,139.0,103,4.89,1,June
202,0,1,1,28801,Entire home/apt,3,5,5,0,1,155.0,182,4.92,1,September
203,0,1,1,28806,Entire home/apt,5,5,3,1,1,198.0,59,4.95,0,June
204,1,1,1,28804,Entire home/apt,2,5,5,0,1,159.0,45,4.98,0,August
205,0,1,1,28806,Entire home/apt,2,5,2,1,1,119.0,92,4.97,0,September
206,0,1,1,28801,Entire home/apt,4,5,5,1,1,281.0,54,4.69,1,June
207,0,1,1,28806,Entire home/apt,2,5,5,1,1,108.0,14,4.71,0,August
208,1,0,0,28801,Private room,2,3,0,0,1,289.0,0,0.0,1,July
209,1,1,1,28801,Entire home/apt,4,4,4,0,1,266.0,71,4.76,1,July
210,1,0,1,28803,Entire home/apt,2,5,5,1,1,116.0,177,4.94,1,September
211,0,1,1,28806,Entire home/apt,4,5,5,1,1,153.0,137,4.98,0,August
212,0,1,1,28806,Entire home/apt,4,5,5,1,1,95.0,20,4.9,1,July
213,1,1,0,28801,Private room,2,4,0,0,1,81.0,226,4.95,1,July
214,1,0,0,28801,Hotel room,2,4,0,0,1,393.0,0,0.0,1,September
215,1,0,1,28804,Private room,2,5,0,0,1,300.0,5,5.0,1,September
216,1,1,1,28804,Entire home/apt,6,5,5,1,1,125.0,121,4.98,1,September
217,1,1,0,28803,Entire home/apt,2,5,4,0,1,105.0,141,4.92,1,September
218,0,1,1,28715,Entire home/apt,8,5,5,1,1,350.0,0,0.0,1,September
219,1,1,1,28803,Entire home/apt,2,5,3,1,1,98.0,128,4.9,1,September
220,1,0,1,28806,Entire home/apt,4,5,3,0,1,117.0,47,4.6,1,September
221,0,0,1,28805,Entire home/apt,4,2,0,0,1,198.0,0,0.0,0,June
222,1,0,0,28804,Private room,2,5,3,0,0,797.0,0,0.0,1,June
223,0,1,1,28801,Entire home/apt,4,5,3,1,1,146.0,73,5.0,0,July
224,1,1,0,28801,Entire home/apt,8,5,5,1,1,299.0,9,5.0,1,June
225,0,0,1,28803,Private room,3,4,5,0,1,59.0,44,4.64,0,June
226,1,1,1,28803,Entire home/apt,2,5,3,0,1,100.0,253,4.96,0,July
227,1,0,1,28806,Entire home/apt,16,3,4,0,1,190.0,13,4.83,1,June
228,1,1,0,28715,Entire home/apt,6,5,5,1,1,121.0,36,4.89,1,July
229,0,1,0,28805,Entire home/apt,7,5,5,1,1,294.0,158,4.96,1,July
230,0,1,1,28805,Entire home/apt,6,4,4,1,1,300.0,186,4.8,0,June
231,0,0,1,28803,Entire home/apt,10,5,5,1,1,304.0,91,4.81,1,September
232,1,1,1,28803,Entire home/apt,6,5,4,1,1,301.0,12,4.75,1,July
233,0,1,0,28804,Entire home/apt,2,5,5,1,1,280.0,195,4.99,1,July
234,0,1,1,28806,Entire home/apt,6,5,5,1,1,269.0,161,4.9,0,July
235,0,1,1,28704,Entire home/apt,4,5,5,1,1,99.0,77,4.99,1,July
236,0,1,0,28804,Private room,2,5,5,1,1,72.0,442,4.93,0,June
237,1,1,1,28806,Entire home/apt,2,5,5,1,1,125.0,12,5.0,1,August
238,1,1,1,28804,Entire home/apt,4,5,5,1,1,280.0,11,4.91,1,July
239,1,0,1,28803,Private room,2,5,2,0,1,60.0,161,4.89,0,September
240,1,1,0,28803,Entire home/apt,2,5,4,1,1,100.0,29,5.0,1,September
241,1,1,1,28806,Entire home/apt,2,5,2,0,1,85.0,115,4.74,1,September
242,1,1,1,28801,Entire home/apt,2,5,5,0,1,150.0,110,4.93,0,August
243,1,1,1,28801,Private room,2,5,1,0,1,140.0,0,0.0,1,July
244,1,1,1,28806,Entire home/apt,5,5,4,1,1,142.0,77,4.9,0,June
245,1,1,1,28804,Entire home/apt,8,5,5,1,1,180.0,140,4.84,1,September
246,1,0,1,28806,Private room,2,5,3,0,1,83.0,164,4.73,1,June
247,1,1,1,28803,Entire home/apt,8,5,5,1,1,307.0,54,4.98,0,June
248,1,0,1,28806,Entire home/apt,6,5,5,1,1,206.0,34,4.97,0,September
249,1,1,1,28806,Private room,2,5,3,1,1,150.0,0,0.0,0,June
250,0,1,1,28804,Entire home/apt,7,5,5,1,1,255.0,34,5.0,1,June
251,1,0,0,28804,Entire home/apt,10,5,5,0,1,250.0,8,4.88,1,July
252,1,1,1,28801,Entire home/apt,6,5,5,1,1,381.0,57,4.88,1,September
253,1,1,1,28732,Entire home/apt,8,4,5,1,1,284.0,44,4.84,1,August
254,1,1,1,28801,Entire home/apt,6,4,5,1,1,452.0,8,5.0,1,June
255,1,1,1,28805,Entire home/apt,2,5,2,0,1,70.0,111,4.91,1,August
256,1,1,0,28806,Entire home/apt,2,5,4,1,1,111.0,211,4.97,0,July
257,1,0,0,28704,Entire home/apt,2,3,2,1,1,124.0,21,4.43,1,August
258,1,0,0,28801,Entire home/apt,4,2,4,0,0,390.0,19,4.74,1,June
259,1,0,0,28801,Hotel room,2,4,0,0,1,419.0,0,0.0,1,June
260,0,1,1,28805,Entire home/apt,4,5,5,1,1,140.0,321,4.91,1,September
261,1,1,1,28806,Entire home/apt,4,5,3,0,1,73.0,200,4.84,0,June
262,1,0,1,28801,Entire home/apt,2,4,0,0,1,111.0,209,4.52,1,July
263,1,1,0,28801,Entire home/apt,3,5,5,0,0,239.0,18,4.94,0,July
264,1,1,1,28704,Entire home/apt,8,5,5,1,1,271.0,3,5.0,1,July
265,1,1,1,28801,Shared room,1,5,1,0,0,35.0,49,4.78,1,August
266,0,0,0,28803,Private room,2,5,5,1,1,48.0,27,4.74,0,July
267,0,1,0,28804,Private room,2,5,5,1,1,72.0,442,4.93,0,September
268,0,1,1,28806,Entire home/apt,2,5,5,1,1,99.0,0,0.0,1,September
269,1,1,0,28805,Entire home/apt,2,5,5,1,1,189.0,83,4.94,0,August
270,1,1,1,28803,Entire home/apt,2,5,2,1,1,60.0,268,4.99,1,August
271,1,0,1,28801,Private room,4,5,3,0,1,121.0,67,4.43,1,August
272,1,1,1,28803,Private room,2,5,5,1,1,44.0,93,4.96,0,June
273,0,1,0,28806,Entire home/apt,6,5,5,0,1,275.0,19,5.0,0,June
274,0,1,0,28803,Entire home/apt,2,5,4,1,1,185.0,97,4.97,0,August
275,1,1,1,28806,Entire home/apt,2,3,2,1,1,71.0,51,4.92,1,September
276,0,1,1,28803,Entire home/apt,4,5,2,1,1,88.0,93,4.85,0,July
277,1,0,1,28806,Entire home/apt,2,5,5,1,1,99.0,124,4.71,1,June
278,1,1,1,28803,Entire home/apt,4,5,5,1,1,100.0,221,4.99,1,August
279,1,1,1,28806,Entire home/apt,4,5,5,1,1,203.0,40,4.95,1,August
280,1,1,1,28801,Entire home/apt,4,5,5,1,1,356.0,2,4.5,1,June
281,0,0,0,28801,Entire home/apt,6,5,2,1,1,164.0,3,5.0,0,July
282,0,1,1,28805,Entire home/apt,2,5,4,1,1,87.0,212,4.98,1,June
283,1,0,1,28801,Private room,2,5,0,0,1,220.0,2,5.0,1,August
284,0,1,1,28715,Entire home/apt,4,5,5,1,1,156.0,75,4.95,0,June
285,0,1,0,28801,Entire home/apt,6,5,5,1,1,121.0,31,4.71,1,June
286,1,0,0,28803,Entire home/apt,2,4,0,1,0,192.0,0,0.0,1,June
287,1,1,1,28806,Entire home/apt,4,5,5,1,1,216.0,43,4.98,1,September
288,0,1,0,28732,Private room,4,5,3,1,1,87.0,47,5.0,1,July
289,1,1,1,28801,Entire home/apt,6,4,5,0,1,381.0,23,4.96,1,September
290,0,1,1,28804,Private room,4,5,5,1,1,475.0,125,4.94,0,September
291,0,1,1,28806,Entire home/apt,2,5,4,1,1,80.0,298,4.88,1,June
292,0,1,1,28715,Entire home/apt,6,5,5,1,1,201.0,32,4.88,0,July
293,0,1,1,28805,Entire home/apt,4,5,5,0,1,93.0,74,4.9,0,September
294,1,1,1,28801,Private room,2,4,1,1,1,97.0,852,4.88,1,July
295,1,1,1,28803,Private room,2,5,3,1,1,112.0,72,4.99,1,September
296,1,1,1,28806,Entire home/apt,5,5,5,1,1,179.0,57,4.93,1,June
297,1,1,1,28806,Private room,2,5,5,1,1,110.0,24,4.96,0,September
298,0,0,0,28806,Private room,2,5,3,1,1,74.0,5,5.0,0,June
299,1,1,1,28805,Entire home/apt,9,5,5,1,1,321.0,212,4.88,0,July
300,0,1,1,28801,Entire home/apt,2,5,4,0,1,134.0,3,5.0,0,August
301,1,1,1,28805,Entire home/apt,3,5,2,0,1,115.0,232,4.96,0,August
302,1,0,1,28806,Entire home/apt,5,5,2,1,1,121.0,301,4.8,0,July
303,0,1,1,28801,Entire home/apt,2,5,4,1,1,102.0,358,4.94,1,September
304,1,1,1,28805,Entire home/apt,4,4,5,1,1,140.0,31,4.94,0,September
305,0,1,0,28804,Entire home/apt,7,5,5,1,1,775.0,5,5.0,0,July
306,0,1,1,28801,Entire home/apt,4,5,3,0,1,153.0,113,4.92,1,July
307,1,1,1,28805,Private room,4,5,2,0,1,101.0,60,5.0,0,August
308,1,1,1,28704,Entire home/apt,4,5,4,1,1,82.0,113,4.92,1,July
309,1,0,1,28804,Entire home/apt,2,5,3,1,1,135.0,8,4.63,1,June
310,0,0,0,28805,Entire home/apt,4,5,1,0,1,150.0,75,4.64,0,September
311,0,1,1,28806,Entire home/apt,4,5,4,1,1,143.0,51,4.78,0,July
312,0,1,0,28803,Private room,2,5,3,0,1,85.0,124,4.81,0,August
313,1,1,1,28804,Entire home/apt,8,5,5,1,1,350.0,21,5.0,1,July
314,1,0,1,28806,Private room,2,5,0,1,1,120.0,49,4.94,0,September
315,0,1,1,28804,Entire home/apt,2,5,5,1,1,195.0,81,4.96,0,August
316,0,1,1,28801,Entire home/apt,2,5,5,1,1,75.0,180,4.79,0,September
317,1,1,0,28804,Entire home/apt,4,5,3,0,1,127.0,28,4.93,0,June
318,1,0,1,28806,Entire home/apt,6,5,5,1,1,177.0,15,4.87,1,September
319,1,1,1,28801,Hotel room,2,5,2,1,1,215.0,24,4.96,1,July
320,1,1,1,28806,Entire home/apt,2,5,3,0,1,116.0,176,4.93,1,August
321,1,1,1,28806,Entire home/apt,2,5,3,0,1,97.0,368,4.96,0,June
322,0,0,0,28806,Entire home/apt,2,5,5,1,1,48.0,214,4.92,1,June
323,0,1,1,28801,Entire home/apt,3,5,0,1,1,85.0,3,5.0,1,August
324,1,1,1,28704,Entire home/apt,8,5,5,1,1,155.0,43,4.93,1,September
325,1,1,1,28806,Private room,2,5,3,1,1,90.0,16,5.0,0,July
326,0,0,1,28806,Entire home/apt,8,5,5,1,1,257.0,145,4.93,1,July
