Host_is_superhost,Host_identity_verified,Neighbourhood,Room_type,Accommodates,Essentials,Cooking,Balcony,Parking,Price,Number_of_reviews,Review_scores_rating,Instant_bookable,Month,Decision
1,1,28805,Private room,2,4,1,0,1,105.0,274,4.96,0,July,1
0,1,28806,Entire home/apt,7,5,5,1,1,135.0,3,5.0,0,August,0
0,1,28801,Entire home/apt,3,5,3,0,1,143.0,12,4.83,1,June,1
1,1,28804,Private room,2,5,1,0,1,50.0,95,4.84,1,July,1
0,0,28806,Entire home/apt,2,5,3,1,1,146.0,16,5.0,1,September,1
1,0,28801,Entire home/apt,4,5,5,1,1,105.0,101,4.94,0,July,1
0,1,28805,Entire home/apt,2,4,2,1,1,99.0,9,4.78,0,June,1
0,1,28805,Entire home/apt,8,4,4,1,1,486.0,2,4.5,1,August,1
1,1,28801,Entire home/apt,6,5,5,1,1,224.0,38,4.74,1,August,1
1,1,28804,Entire home/apt,5,5,5,1,1,161.0,92,4.93,1,July,0
1,1,28804,Entire home/apt,5,5,5,1,1,200.0,24,4.88,0,September,1
0,0,28801,Entire home/apt,2,5,5,1,1,154.0,47,4.74,1,August,0
0,0,28805,Private room,2,2,0,0,0,244.0,0,0.0,1,August,1
1,1,28704,Entire home/apt,2,5,5,1,1,74.0,66,4.98,1,June,0
1,1,28804,Entire home/apt,4,5,5,1,1,271.0,11,4.91,1,June,1
1,1,28801,Entire home/apt,2,4,1,0,1,231.0,104,4.96,1,June,1
1,1,28805,Private room,2,5,4,1,1,131.0,542,4.95,0,July,1
1,0,28715,Private room,2,4,4,1,1,55.0,74,4.93,0,August,1
1,0,28805,Entire home/apt,4,5,5,0,1,141.0,8,5.0,1,July,1
1,1,28806,Entire home/apt,4,5,5,1,1,145.0,60,4.93,1,June,1
1,1,28801,Private room,2,5,2,1,1,189.0,10,5.0,1,July,1
1,1,28801,Entire home/apt,6,5,5,1,1,481.0,18,4.94,1,August,1
1,0,28803,Private room,2,4,1,1,1,77.0,9,5.0,0,July,0
1,1,28803,Entire home/apt,8,5,5,1,1,296.0,84,4.86,1,June,1
1,0,28732,Private room,2,5,4,1,1,47.0,205,4.96,1,July,0
0,1,28801,Entire home/apt,4,3,3,1,0,160.0,1,5.0,1,June,1
1,1,28704,Entire home/apt,6,5,5,1,1,166.0,34,4.82,0,August,1
0,1,28805,Entire home/apt,2,5,2,1,1,70.0,38,4.84,0,September,1
1,0,28732,Entire home/apt,4,2,0,0,1,95.0,12,4.92,1,September,1
1,1,28732,Entire home/apt,4,5,4,1,1,196.0,75,5.0,1,September,1
1,0,28704,Entire home/apt,8,4,5,1,1,532.0,6,4.83,0,July,0
1,1,28804,Entire home/apt,12,5,5,1,1,638.0,17,5.0,1,July,1
0,1,28803,Entire home/apt,4,4,2,0,1,205.0,6,5.0,1,June,1
1,1,28806,Private room,2,5,3,1,1,51.0,7,5.0,1,August,0
1,0,28806,Entire home/apt,4,2,0,1,1,19.0,31,4.9,1,September,1
0,1,28801,Entire home/apt,6,5,5,1,1,195.0,72,4.72,1,June,0
1,0,28805,Entire home/apt,4,5,5,1,1,152.0,33,4.88,1,September,1
1,1,28806,Entire home/apt,6,5,4,1,1,176.0,92,4.96,1,July,1
1,0,28806,Entire home/apt,7,5,5,1,1,125.0,97,4.97,0,August,0
1,1,28801,Entire home/apt,8,5,5,1,1,509.0,31,5.0,1,August,1
1,0,28806,Entire home/apt,4,5,5,1,1,173.0,171,4.95,1,August,0
1,0,28806,Entire home/apt,4,5,3,1,1,153.0,23,5.0,0,June,1
1,1,28801,Entire home/apt,5,5,5,1,1,245.0,84,5.0,0,June,0
1,1,28806,Entire home/apt,5,5,5,1,1,110.0,76,4.92,0,September,0
1,1,28801,Private room,2,5,3,0,1,75.0,75,4.88,1,June,0
1,1,28801,Entire home/apt,4,5,5,0,1,249.0,44,4.93,1,September,0
0,1,28805,Entire home/apt,8,4,4,1,1,380.0,12,4.75,1,June,0
0,0,28801,Entire home/apt,2,4,0,1,1,200.0,0,0.0,0,September,0
0,0,28732,Private room,2,5,1,0,0,201.0,0,0.0,1,August,0
1,1,28803,Entire home/apt,7,5,5,1,1,135.0,113,4.96,0,September,1
0,1,28801,Entire home/apt,2,3,0,0,1,125.0,155,4.54,0,June,1
1,0,28803,Private room,2,5,4,1,1,119.0,17,5.0,0,September,1
1,0,28803,Private room,2,5,3,0,1,85.0,123,4.81,0,July,0
1,1,28806,Entire home/apt,6,5,5,1,1,110.0,99,4.86,0,June,0
1,1,28806,Private room,2,5,3,1,1,94.0,20,5.0,0,August,0
1,1,28803,Entire home/apt,4,5,5,1,1,80.0,0,0.0,0,September,0
0,1,28804,Entire home/apt,2,4,2,1,1,98.0,129,4.75,1,July,1
1,1,28806,Entire home/apt,4,5,5,1,1,133.0,43,4.86,1,June,1
1,1,28804,Entire home/apt,2,5,5,1,1,55.0,13,5.0,0,September,0
0,1,28704,Private room,2,5,1,1,1,54.0,13,4.77,1,August,1
0,1,28803,Entire home/apt,8,5,5,0,1,148.0,104,4.85,1,August,1
1,1,28732,Entire home/apt,6,5,5,1,1,205.0,194,4.94,0,June,1
1,1,28704,Entire home/apt,2,5,5,1,1,115.0,10,4.7,0,August,1
1,0,28704,Private room,2,5,2,1,1,80.0,104,4.98,0,August,1
1,1,28806,Entire home/apt,4,5,5,1,1,236.0,17,4.94,0,July,1
0,1,28803,Entire home/apt,2,4,0,0,1,94.0,6,5.0,0,July,1
1,1,28801,Entire home/apt,6,5,5,1,1,329.0,35,4.97,0,September,0
1,1,28804,Entire home/apt,4,4,3,0,0,134.0,16,4.94,0,September,1
1,1,28801,Entire home/apt,5,5,5,1,1,226.0,92,5.0,0,September,0
1,0,28806,Entire home/apt,6,5,5,1,1,135.0,22,5.0,0,June,0
1,0,28803,Entire home/apt,10,5,5,1,1,325.0,64,4.92,0,June,1
0,1,28801,Private room,4,5,3,0,1,119.0,57,4.39,1,June,1
1,0,28803,Entire home/apt,4,5,5,1,1,155.0,110,4.92,1,June,1
0,0,28805,Entire home/apt,2,5,3,0,0,317.0,0,0.0,1,August,0
1,1,28803,Entire home/apt,6,5,5,0,1,90.0,11,5.0,0,June,0
0,1,28801,Entire home/apt,2,5,5,1,1,75.0,8,4.71,0,June,0
1,1,28805,Private room,2,4,1,0,1,117.0,319,4.96,1,September,1
1,1,28804,Entire home/apt,4,5,5,1,1,186.0,35,4.89,0,June,0
1,0,28806,Private room,2,2,0,1,1,26.0,74,4.92,1,July,1
1,1,28804,Entire home/apt,2,5,4,1,1,150.0,324,4.94,0,July,1
1,0,28805,Entire home/apt,8,5,5,1,1,80.0,258,4.97,1,August,0
0,0,28801,Entire home/apt,6,5,5,1,1,361.0,5,5.0,0,September,0
1,1,28801,Entire home/apt,6,4,4,0,1,381.0,74,4.81,1,August,1
0,0,28806,Entire home/apt,2,5,3,1,1,109.0,28,5.0,1,June,1
1,1,28804,Entire home/apt,2,5,5,1,1,114.0,133,4.86,0,July,0
1,1,28801,Entire home/apt,6,5,5,1,1,538.0,4,4.75,1,August,1
0,0,28804,Entire home/apt,4,4,0,0,1,88.0,0,0.0,0,June,0
1,1,28803,Entire home/apt,4,5,0,1,1,95.0,5,5.0,0,September,0
0,1,28806,Entire home/apt,3,4,1,0,1,115.0,68,4.94,0,June,0
1,1,28806,Entire home/apt,4,5,5,0,1,156.0,16,4.81,1,July,0
0,0,28804,Entire home/apt,4,3,4,0,1,218.0,22,4.91,1,August,1
1,1,28803,Entire home/apt,8,5,5,1,1,273.0,125,4.89,0,June,0
1,1,28801,Private room,2,5,1,0,1,195.0,2,5.0,1,August,1
1,1,28805,Entire home/apt,12,5,5,1,1,377.0,130,4.98,1,June,0
1,1,28805,Entire home/apt,4,5,5,1,1,218.0,28,4.89,1,August,1
1,0,28803,Entire home/apt,4,5,5,0,1,190.0,62,4.9,1,September,1
1,0,28803,Entire home/apt,10,5,5,1,1,134.0,355,4.89,1,June,0
1,1,28801,Entire home/apt,4,4,1,0,1,185.0,84,4.93,1,July,1
1,1,28804,Entire home/apt,8,5,5,1,1,364.0,17,4.67,1,September,1
1,1,28801,Entire home/apt,4,5,5,1,1,150.0,389,4.92,1,July,1
1,1,28803,Entire home/apt,4,5,5,1,1,60.0,0,0.0,0,July,0
1,1,28704,Entire home/apt,11,5,5,1,1,483.0,9,5.0,1,July,0
1,0,28803,Entire home/apt,2,5,3,1,1,164.0,174,4.97,1,June,1
0,0,28806,Entire home/apt,2,4,1,0,1,81.0,1,5.0,0,June,1
0,1,28804,Entire home/apt,4,5,5,1,0,125.0,7,5.0,1,July,1
1,1,28803,Private room,2,5,3,0,1,97.0,91,4.99,0,September,0
0,0,28732,Entire home/apt,4,5,0,1,1,300.0,9,4.56,0,July,0
1,1,28801,Entire home/apt,2,4,1,0,1,227.0,108,4.96,1,July,1
0,0,28801,Hotel room,2,4,0,0,1,438.0,0,0.0,1,August,1
1,1,28806,Entire home/apt,2,5,3,0,1,62.0,48,4.96,1,July,1
0,1,28803,Entire home/apt,2,4,0,0,1,151.0,163,4.96,0,June,0
1,1,28804,Entire home/apt,12,5,5,1,1,468.0,79,5.0,0,August,1
1,1,28804,Entire home/apt,12,5,5,1,1,638.0,16,5.0,1,June,0
0,0,28801,Private room,2,2,0,0,1,125.0,58,4.96,0,June,0
1,0,28803,Entire home/apt,2,5,5,1,0,115.0,137,4.92,0,September,0
0,1,28806,Entire home/apt,7,3,4,1,0,512.0,42,4.93,1,July,1
1,1,28806,Entire home/apt,4,5,5,1,1,226.0,31,4.9,1,June,1
1,1,28801,Entire home/apt,4,5,5,1,1,196.0,251,4.88,1,July,0
1,1,28806,Shared room,3,5,5,1,1,33.0,84,4.65,1,August,1
1,1,28806,Entire home/apt,6,5,5,1,1,196.0,86,4.9,1,June,1
1,1,28801,Private room,2,5,3,1,1,42.0,198,4.9,0,September,0
1,1,28801,Entire home/apt,4,5,5,0,1,243.0,41,4.93,1,August,1
0,1,28806,Entire home/apt,8,4,1,0,1,102.0,34,4.68,1,August,1
0,0,28804,Entire home/apt,4,5,3,0,1,244.0,18,5.0,1,August,1
1,1,28806,Entire home/apt,10,5,5,1,1,506.0,124,4.95,0,June,1
0,0,28804,Entire home/apt,4,5,5,1,1,98.0,174,4.65,0,June,0
0,1,28806,Entire home/apt,4,5,0,0,1,149.0,0,0.0,0,June,0
0,0,28804,Entire home/apt,8,5,5,1,1,411.0,36,4.89,0,August,1
1,1,28806,Entire home/apt,4,5,5,1,1,139.0,103,4.89,1,June,1
1,1,28801,Entire home/apt,3,5,5,0,1,155.0,182,4.92,1,September,0
1,1,28806,Entire home/apt,5,5,3,1,1,198.0,59,4.95,0,June,0
1,1,28804,Entire home/apt,2,5,5,0,1,159.0,45,4.98,0,August,1
1,1,28806,Entire home/apt,2,5,2,1,1,119.0,92,4.97,0,September,0
1,1,28801,Entire home/apt,4,5,5,1,1,281.0,54,4.69,1,June,0
1,1,28806,Entire home/apt,2,5,5,1,1,108.0,14,4.71,0,August,0
0,0,28801,Private room,2,3,0,0,1,289.0,0,0.0,1,July,1
1,1,28801,Entire home/apt,4,4,4,0,1,266.0,71,4.76,1,July,1
0,1,28803,Entire home/apt,2,5,5,1,1,116.0,177,4.94,1,September,1
1,1,28806,Entire home/apt,4,5,5,1,1,153.0,137,4.98,0,August,0
1,1,28806,Entire home/apt,4,5,5,1,1,95.0,20,4.9,1,July,0
1,0,28801,Private room,2,4,0,0,1,81.0,226,4.95,1,July,1
0,0,28801,Hotel room,2,4,0,0,1,393.0,0,0.0,1,September,1
0,1,28804,Private room,2,5,0,0,1,300.0,5,5.0,1,September,1
1,1,28804,Entire home/apt,6,5,5,1,1,125.0,121,4.98,1,September,1
1,0,28803,Entire home/apt,2,5,4,0,1,105.0,141,4.92,1,September,1
1,1,28715,Entire home/apt,8,5,5,1,1,350.0,0,0.0,1,September,0
1,1,28803,Entire home/apt,2,5,3,1,1,98.0,128,4.9,1,September,1
0,1,28806,Entire home/apt,4,5,3,0,1,117.0,47,4.6,1,September,1
0,1,28805,Entire home/apt,4,2,0,0,1,198.0,0,0.0,0,June,0
0,0,28804,Private room,2,5,3,0,0,797.0,0,0.0,1,June,1
1,1,28801,Entire home/apt,4,5,3,1,1,146.0,73,5.0,0,July,0
1,0,28801,Entire home/apt,8,5,5,1,1,299.0,9,5.0,1,June,1
0,1,28803,Private room,3,4,5,0,1,59.0,44,4.64,0,June,0
1,1,28803,Entire home/apt,2,5,3,0,1,100.0,253,4.96,0,July,1
0,1,28806,Entire home/apt,16,3,4,0,1,190.0,13,4.83,1,June,1
1,0,28715,Entire home/apt,6,5,5,1,1,121.0,36,4.89,1,July,1
1,0,28805,Entire home/apt,7,5,5,1,1,294.0,158,4.96,1,July,0
1,1,28805,Entire home/apt,6,4,4,1,1,300.0,186,4.8,0,June,0
0,1,28803,Entire home/apt,10,5,5,1,1,304.0,91,4.81,1,September,0
1,1,28803,Entire home/apt,6,5,4,1,1,301.0,12,4.75,1,July,1
1,0,28804,Entire home/apt,2,5,5,1,1,280.0,195,4.99,1,July,0
1,1,28806,Entire home/apt,6,5,5,1,1,269.0,161,4.9,0,July,0
1,1,28704,Entire home/apt,4,5,5,1,1,99.0,77,4.99,1,July,0
1,0,28804,Private room,2,5,5,1,1,72.0,442,4.93,0,June,0
1,1,28806,Entire home/apt,2,5,5,1,1,125.0,12,5.0,1,August,1
1,1,28804,Entire home/apt,4,5,5,1,1,280.0,11,4.91,1,July,1
0,1,28803,Private room,2,5,2,0,1,60.0,161,4.89,0,September,1
1,0,28803,Entire home/apt,2,5,4,1,1,100.0,29,5.0,1,September,1
1,1,28806,Entire home/apt,2,5,2,0,1,85.0,115,4.74,1,September,1
1,1,28801,Entire home/apt,2,5,5,0,1,150.0,110,4.93,0,August,1
1,1,28801,Private room,2,5,1,0,1,140.0,0,0.0,1,July,1
1,1,28806,Entire home/apt,5,5,4,1,1,142.0,77,4.9,0,June,1
1,1,28804,Entire home/apt,8,5,5,1,1,180.0,140,4.84,1,September,1
0,1,28806,Private room,2,5,3,0,1,83.0,164,4.73,1,June,1
1,1,28803,Entire home/apt,8,5,5,1,1,307.0,54,4.98,0,June,1
0,1,28806,Entire home/apt,6,5,5,1,1,206.0,34,4.97,0,September,1
1,1,28806,Private room,2,5,3,1,1,150.0,0,0.0,0,June,1
1,1,28804,Entire home/apt,7,5,5,1,1,255.0,34,5.0,1,June,0
0,0,28804,Entire home/apt,10,5,5,0,1,250.0,8,4.88,1,July,1
1,1,28801,Entire home/apt,6,5,5,1,1,381.0,57,4.88,1,September,1
1,1,28732,Entire home/apt,8,4,5,1,1,284.0,44,4.84,1,August,1
1,1,28801,Entire home/apt,6,4,5,1,1,452.0,8,5.0,1,June,1
1,1,28805,Entire home/apt,2,5,2,0,1,70.0,111,4.91,1,August,1
1,0,28806,Entire home/apt,2,5,4,1,1,111.0,211,4.97,0,July,1
0,0,28704,Entire home/apt,2,3,2,1,1,124.0,21,4.43,1,August,1
0,0,28801,Entire home/apt,4,2,4,0,0,390.0,19,4.74,1,June,1
0,0,28801,Hotel room,2,4,0,0,1,419.0,0,0.0,1,June,1
1,1,28805,Entire home/apt,4,5,5,1,1,140.0,321,4.91,1,September,0
1,1,28806,Entire home/apt,4,5,3,0,1,73.0,200,4.84,0,June,1
0,1,28801,Entire home/apt,2,4,0,0,1,111.0,209,4.52,1,July,1
1,0,28801,Entire home/apt,3,5,5,0,0,239.0,18,4.94,0,July,1
1,1,28704,Entire home/apt,8,5,5,1,1,271.0,3,5.0,1,July,1
1,1,28801,Shared room,1,5,1,0,0,35.0,49,4.78,1,August,1
0,0,28803,Private room,2,5,5,1,1,48.0,27,4.74,0,July,0
1,0,28804,Private room,2,5,5,1,1,72.0,442,4.93,0,September,0
1,1,28806,Entire home/apt,2,5,5,1,1,99.0,0,0.0,1,September,0
1,0,28805,Entire home/apt,2,5,5,1,1,189.0,83,4.94,0,August,1
1,1,28803,Entire home/apt,2,5,2,1,1,60.0,268,4.99,1,August,1
0,1,28801,Private room,4,5,3,0,1,121.0,67,4.43,1,August,1
1,1,28803,Private room,2,5,5,1,1,44.0,93,4.96,0,June,1
1,0,28806,Entire home/apt,6,5,5,0,1,275.0,19,5.0,0,June,0
1,0,28803,Entire home/apt,2,5,4,1,1,185.0,97,4.97,0,August,0
1,1,28806,Entire home/apt,2,3,2,1,1,71.0,51,4.92,1,September,1
1,1,28803,Entire home/apt,4,5,2,1,1,88.0,93,4.85,0,July,0
0,1,28806,Entire home/apt,2,5,5,1,1,99.0,124,4.71,1,June,1
1,1,28803,Entire home/apt,4,5,5,1,1,100.0,221,4.99,1,August,1
1,1,28806,Entire home/apt,4,5,5,1,1,203.0,40,4.95,1,August,1
1,1,28801,Entire home/apt,4,5,5,1,1,356.0,2,4.5,1,June,1
0,0,28801,Entire home/apt,6,5,2,1,1,164.0,3,5.0,0,July,0
1,1,28805,Entire home/apt,2,5,4,1,1,87.0,212,4.98,1,June,0
0,1,28801,Private room,2,5,0,0,1,220.0,2,5.0,1,August,1
1,1,28715,Entire home/apt,4,5,5,1,1,156.0,75,4.95,0,June,0
1,0,28801,Entire home/apt,6,5,5,1,1,121.0,31,4.71,1,June,0
0,0,28803,Entire home/apt,2,4,0,1,0,192.0,0,0.0,1,June,1
1,1,28806,Entire home/apt,4,5,5,1,1,216.0,43,4.98,1,September,1
1,0,28732,Private room,4,5,3,1,1,87.0,47,5.0,1,July,0
1,1,28801,Entire home/apt,6,4,5,0,1,381.0,23,4.96,1,September,1
1,1,28804,Private room,4,5,5,1,1,475.0,125,4.94,0,September,0
1,1,28806,Entire home/apt,2,5,4,1,1,80.0,298,4.88,1,June,0
1,1,28715,Entire home/apt,6,5,5,1,1,201.0,32,4.88,0,July,0
1,1,28805,Entire home/apt,4,5,5,0,1,93.0,74,4.9,0,September,0
1,1,28801,Private room,2,4,1,1,1,97.0,852,4.88,1,July,1
1,1,28803,Private room,2,5,3,1,1,112.0,72,4.99,1,September,1
1,1,28806,Entire home/apt,5,5,5,1,1,179.0,57,4.93,1,June,1
1,1,28806,Private room,2,5,5,1,1,110.0,24,4.96,0,September,1
0,0,28806,Private room,2,5,3,1,1,74.0,5,5.0,0,June,0
1,1,28805,Entire home/apt,9,5,5,1,1,321.0,212,4.88,0,July,1
1,1,28801,Entire home/apt,2,5,4,0,1,134.0,3,5.0,0,August,0
1,1,28805,Entire home/apt,3,5,2,0,1,115.0,232,4.96,0,August,1
0,1,28806,Entire home/apt,5,5,2,1,1,121.0,301,4.8,0,July,1
1,1,28801,Entire home/apt,2,5,4,1,1,102.0,358,4.94,1,September,0
1,1,28805,Entire home/apt,4,4,5,1,1,140.0,31,4.94,0,September,1
1,0,28804,Entire home/apt,7,5,5,1,1,775.0,5,5.0,0,July,0
1,1,28801,Entire home/apt,4,5,3,0,1,153.0,113,4.92,1,July,0
1,1,28805,Private room,4,5,2,0,1,101.0,60,5.0,0,August,1
1,1,28704,Entire home/apt,4,5,4,1,1,82.0,113,4.92,1,July,1
0,1,28804,Entire home/apt,2,5,3,1,1,135.0,8,4.63,1,June,1
0,0,28805,Entire home/apt,4,5,1,0,1,150.0,75,4.64,0,September,0
1,1,28806,Entire home/apt,4,5,4,1,1,143.0,51,4.78,0,July,0
1,0,28803,Private room,2,5,3,0,1,85.0,124,4.81,0,August,0
1,1,28804,Entire home/apt,8,5,5,1,1,350.0,21,5.0,1,July,1
0,1,28806,Private room,2,5,0,1,1,120.0,49,4.94,0,September,1
1,1,28804,Entire home/apt,2,5,5,1,1,195.0,81,4.96,0,August,0
1,1,28801,Entire home/apt,2,5,5,1,1,75.0,180,4.79,0,September,0
1,0,28804,Entire home/apt,4,5,3,0,1,127.0,28,4.93,0,June,1
0,1,28806,Entire home/apt,6,5,5,1,1,177.0,15,4.87,1,September,1
1,1,28801,Hotel room,2,5,2,1,1,215.0,24,4.96,1,July,1
1,1,28806,Entire home/apt,2,5,3,0,1,116.0,176,4.93,1,August,1
1,1,28806,Entire home/apt,2,5,3,0,1,97.0,368,4.96,0,June,1
0,0,28806,Entire home/apt,2,5,5,1,1,48.0,214,4.92,1,June,0
1,1,28801,Entire home/apt,3,5,0,1,1,85.0,3,5.0,1,August,0
1,1,28704,Entire home/apt,8,5,5,1,1,155.0,43,4.93,1,September,1
1,1,28806,Private room,2,5,3,1,1,90.0,16,5.0,0,July,1
0,1,28806,Entire home/apt,8,5,5,1,1,257.0,145,4.93,1,July,0
1,1,28806,Entire home/apt,2,5,5,1,1,107.0,100,5.0,1,August,0
1,1,28806,Entire home/apt,3,5,2,0,1,102.0,95,4.89,1,June,1
1,1,28804,Entire home/apt,2,5,3,1,1,106.0,333,5.0,1,September,0
1,1,28715,Entire home/apt,7,5,2,0,1,95.0,13,4.62,1,July,0
1,1,28806,Entire home/apt,4,5,5,0,1,150.0,204,4.98,1,June,0
0,0,28803,Entire home/apt,5,5,2,0,1,179.0,3,5.0,1,June,0
1,1,28805,Entire home/apt,3,5,2,0,1,109.0,236,4.96,0,September,1
0,1,28704,Private room,2,5,1,1,1,51.0,7,5.0,1,July,1
1,0,28801,Private room,2,5,3,1,1,49.0,188,4.86,1,June,1
1,1,28806,Entire home/apt,4,4,5,1,1,180.0,68,4.88,0,August,1
1,1,28801,Entire home/apt,3,5,3,1,1,94.0,144,4.9,1,June,1
1,1,28801,Entire home/apt,2,5,5,1,1,132.0,322,4.92,1,September,1
1,0,28803,Entire home/apt,4,5,5,0,1,135.0,84,4.98,0,August,1
1,1,28704,Entire home/apt,11,5,5,1,1,460.0,14,4.93,1,August,1
1,1,28806,Entire home/apt,2,2,1,0,1,52.0,34,4.88,1,August,1
1,1,28803,Entire home/apt,5,5,2,1,1,125.0,7,5.0,1,August,0
1,1,28803,Entire home/apt,2,5,3,1,1,45.0,14,5.0,0,June,0
